trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,Instruction.stopped,Intro_resp.keys,Intro_resp.rt,Intro_resp.started,Intro_resp.stopped,Trial_Instruction.started,Trial_Instruction.stopped,DeckA.started,DeckA.stopped,DeckB.started,DeckB.stopped,DeckC.started,DeckC.stopped,DeckD.started,DeckD.stopped,border.started,border.stopped,Trial_click.x,Trial_click.y,Trial_click.leftButton,Trial_click.midButton,Trial_click.rightButton,Trial_click.time,Trial_click.clicked_name,Trial_click.started,Trial_click.stopped,totMoney.started,totMoney.stopped,Nchoice.started,Nchoice.stopped,gain_result.routineEndVal,remained_money.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,9.975669667001057,None,9.975669667001057,None,9.975669667001057,None,9.975669667001057,None,9.975669667001057,None,9.975669667001057,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.1249317500005418,DeckB,0.007404954500088934,None,9.975669667001057,None,9.975669667001057,None,100,1750,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
10,0,10,0,,,,,,,10.108769624999695,None,10.108769624999695,None,10.108769624999695,None,10.108769624999695,None,10.108769624999695,None,10.108769624999695,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.7260600839981635,DeckA,0.007584912502352381,None,10.108769624999695,None,10.108769624999695,None,0,1750,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
11,0,11,0,,,,,,,10.842396583000664,None,10.842396583000664,None,10.842396583000664,None,10.842396583000664,None,10.842396583000664,None,10.842396583000664,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.17447974999959115,DeckA,0.007306287498067832,None,10.842396583000664,None,10.842396583000664,None,0,1750,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
12,0,12,0,,,,,,,11.023800667000614,None,11.023800667000614,None,11.023800667000614,None,11.023800667000614,None,11.023800667000614,None,11.023800667000614,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.14471224999942933,DeckA,0.009613996502594091,None,11.023800667000614,None,11.023800667000614,None,0,1750,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
13,0,13,0,,,,,,,11.173788749998494,None,11.173788749998494,None,11.173788749998494,None,11.173788749998494,None,11.173788749998494,None,11.173788749998494,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.1765242080000462,DeckA,0.009530911502224626,None,11.173788749998494,None,11.173788749998494,None,0,1750,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
14,0,14,0,,,,,,,11.358200374997978,None,11.358200374997978,None,11.358200374997978,None,11.358200374997978,None,11.358200374997978,None,11.358200374997978,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.17680579099760507,DeckA,0.008593454498623032,None,11.358200374997978,None,11.358200374997978,None,50,1800,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
15,0,15,0,,,,,,,11.54248404199825,None,11.54248404199825,None,11.54248404199825,None,11.54248404199825,None,11.54248404199825,None,11.54248404199825,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.15752587499810033,DeckA,0.007110579499567393,None,11.54248404199825,None,11.54248404199825,None,50,1850,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
16,0,16,0,,,,,,,11.707902957998158,None,11.707902957998158,None,11.707902957998158,None,11.707902957998158,None,11.707902957998158,None,11.707902957998158,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.17630983399794786,DeckA,0.008071537500654813,None,11.707902957998158,None,11.707902957998158,None,50,1900,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
17,0,17,0,,,,,,,11.891604458000074,None,11.891604458000074,None,11.891604458000074,None,11.891604458000074,None,11.891604458000074,None,11.891604458000074,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.17545170800076448,DeckA,0.00813070450021769,None,11.891604458000074,None,11.891604458000074,None,50,1950,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
18,0,18,0,,,,,,,12.075005333001172,None,12.075005333001172,None,12.075005333001172,None,12.075005333001172,None,12.075005333001172,None,12.075005333001172,None,-0.5844444444444444,0.006666666666666667,1,0,0,0.15902516599817318,DeckA,0.00783133050208562,None,12.075005333001172,None,12.075005333001172,None,50,2000,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
